"brokerage_name","apartment_id","latitude","longitude","date_available","bedrooms","beds_count","bathrooms","rent","city","state","area","neighborhood","metro_id","neighborhood_id","sub_neighborhood_id","metro_name","nbhd_name","sub_nbhd_name","source","zip","address","apply_token_url","exclusive_by","mls_id","status","hide_rb_cp","hide_partner_cp","is_featured","match_type","Scrape_Date"
"",2233088,42.3452156,-71.064448,"2018-11-08",0,0,1,3104,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233089,42.3452156,-71.064448,"2018-11-08",0,0,1,3339,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233090,42.3452156,-71.064448,"2018-11-08",0,0,1,3104,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233092,42.3452156,-71.064448,"2018-11-08",0,0,1,3094,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233095,42.3452156,-71.064448,"2018-11-08",0,0,1,3264,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2483725,42.3404481,-71.0677792,"2018-11-08",2,2,2,4780,"Boston","Massachusetts","Boston - South End","South End",0,4290,16789,"","South End",16789,"Star Lord","2118","50 Malden Street",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",75049,42.3388798,-71.0817974,"2018-11-08",1,1,1,3000,"Boston","Massachusetts","Boston - Lower Roxbury","Lower Roxbury",4288,16775,0,"Roxbury","Lower Roxbury",0,"Office","2118","791 Tremont Street",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233135,42.3452156,-71.064448,"2018-11-08",3,3,2,6856,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233136,42.3452156,-71.064448,"2018-11-08",3,3,2,6449,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233137,42.3452156,-71.064448,"2018-11-08",3,3,2,6853,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233138,42.3452156,-71.064448,"2018-11-08",3,3,2,6853,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233139,42.3452156,-71.064448,"2018-11-08",3,3,2,6802,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233140,42.3452156,-71.064448,"2018-11-08",3,3,3,7632,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233144,42.3452156,-71.064448,"2018-11-08",3,3,3,8166,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233146,42.3452156,-71.064448,"2018-11-08",2,2,2,4989,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233149,42.3452156,-71.064448,"2018-11-08",2,2,2,4734,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233150,42.3452156,-71.064448,"2018-11-08",2,2,2,5584,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233153,42.3452156,-71.064448,"2018-11-08",2,2,2,4954,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233154,42.3452156,-71.064448,"2018-11-08",2,2,2,5595,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233155,42.3452156,-71.064448,"2018-11-08",2,2,2,5589,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233156,42.3452156,-71.064448,"2018-11-08",2,2,2,5595,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233162,42.3452156,-71.064448,"2018-11-08",2,2,2,4809,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2556236,42.3363152,-71.0747635,"2018-11-07",0,0,1,2300,"Boston","Massachusetts","Boston - South End","South End",0,4290,16789,"","South End",16789,"Office","2118","23 Worcester Sq",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233165,42.3452156,-71.064448,"2018-11-08",2,2,2,5439,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233166,42.3452156,-71.064448,"2018-11-08",2,2,2,5029,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
"",2233167,42.3452156,-71.064448,"2018-11-08",2,2,2,4809,"Boston","Massachusetts","Boston - South End","South End",0,4290,16788,"","South End",16788,"Star Lord","2118","345 Harrison Avenue",NA,"",NA,"Active",0,0,FALSE,"exact","08-11-2018"
